nazwa_dziczy,id_dziczy,id_regionu
Łąka,1,1
Las,2,1
Wybrzeże,3,1
Morze,4,1
Góry,5,1
Jaskinie,6,1
Opuszczone Miasto,7,1
Safari,8,1
Równina,11,2
Puszcza,12,2
Jezioro,13,2
Wulkan,14,2
Ruiny Miasta,15,2
Park Narodowy,16,2
Alejka Spacerowa,20,3
Pustynia,21,3
Głębina,22,3
Ogród,23,3
Opuszczona Elektrownia,24,3
Nawiedzona Wieża,25,3
Meteorytowa Góra,26,3
Gęsty Zagajnik,30,4
Dolina Wiatraków,31,4
Koronny Szczyt,32,4
Potrójny Staw,33,4
Pustynia Lodowa,34,4
Wielkie Bagna,35,4
Ranczo,37,5
Most Zwodzony Driftveil,38,5
Cudowny Most,39,5
Strzelisty Most,40,5
Most Sieci Metra,41,5
Wiejski Most,42,5
Jaskinia Elektrokamieni,43,5
Reliktowy Zamek,44,5
Francuski Labirynt,46,6
Lazurowa Zatoka,47,6
Mroczna Gęstwina,48,6
Lustrzana Grota,49,6
Oszroniona Pieczara,50,6
Przyjazne Safari,51,6
